id,epochs,learning_rate,betas,epsilons
1,1,1e-07,0.001,0.16
2,1,1e-07,0.001,0.20841368677578814
3,1,1e-07,0.001,0.27147665522172704
4,1,1e-07,0.001,0.3536215661769979
5,1,1e-07,0.001,0.460622339564853
6,1,1e-07,0.001,0.6
7,1,1e-07,0.01,0.16
8,1,1e-07,0.01,0.20841368677578814
9,1,1e-07,0.01,0.27147665522172704
10,1,1e-07,0.01,0.3536215661769979
11,1,1e-07,0.01,0.460622339564853
12,1,1e-07,0.01,0.6
13,1,1e-07,0.1,0.16
14,1,1e-07,0.1,0.20841368677578814
15,1,1e-07,0.1,0.27147665522172704
16,1,1e-07,0.1,0.3536215661769979
17,1,1e-07,0.1,0.460622339564853
18,1,1e-07,0.1,0.6
19,1,1e-07,1.0,0.16
20,1,1e-07,1.0,0.20841368677578814
21,1,1e-07,1.0,0.27147665522172704
22,1,1e-07,1.0,0.3536215661769979
23,1,1e-07,1.0,0.460622339564853
24,1,1e-07,1.0,0.6
25,1,1e-06,0.001,0.16
26,1,1e-06,0.001,0.20841368677578814
27,1,1e-06,0.001,0.27147665522172704
28,1,1e-06,0.001,0.3536215661769979
29,1,1e-06,0.001,0.460622339564853
30,1,1e-06,0.001,0.6
31,1,1e-06,0.01,0.16
32,1,1e-06,0.01,0.20841368677578814
33,1,1e-06,0.01,0.27147665522172704
34,1,1e-06,0.01,0.3536215661769979
35,1,1e-06,0.01,0.460622339564853
36,1,1e-06,0.01,0.6
37,1,1e-06,0.1,0.16
38,1,1e-06,0.1,0.20841368677578814
39,1,1e-06,0.1,0.27147665522172704
40,1,1e-06,0.1,0.3536215661769979
41,1,1e-06,0.1,0.460622339564853
42,1,1e-06,0.1,0.6
43,1,1e-06,1.0,0.16
44,1,1e-06,1.0,0.20841368677578814
45,1,1e-06,1.0,0.27147665522172704
46,1,1e-06,1.0,0.3536215661769979
47,1,1e-06,1.0,0.460622339564853
48,1,1e-06,1.0,0.6
49,1,1e-05,0.001,0.16
50,1,1e-05,0.001,0.20841368677578814
51,1,1e-05,0.001,0.27147665522172704
52,1,1e-05,0.001,0.3536215661769979
53,1,1e-05,0.001,0.460622339564853
54,1,1e-05,0.001,0.6
55,1,1e-05,0.01,0.16
56,1,1e-05,0.01,0.20841368677578814
57,1,1e-05,0.01,0.27147665522172704
58,1,1e-05,0.01,0.3536215661769979
59,1,1e-05,0.01,0.460622339564853
60,1,1e-05,0.01,0.6
61,1,1e-05,0.1,0.16
62,1,1e-05,0.1,0.20841368677578814
63,1,1e-05,0.1,0.27147665522172704
64,1,1e-05,0.1,0.3536215661769979
65,1,1e-05,0.1,0.460622339564853
66,1,1e-05,0.1,0.6
67,1,1e-05,1.0,0.16
68,1,1e-05,1.0,0.20841368677578814
69,1,1e-05,1.0,0.27147665522172704
70,1,1e-05,1.0,0.3536215661769979
71,1,1e-05,1.0,0.460622339564853
72,1,1e-05,1.0,0.6
73,1,0.0001,0.001,0.16
74,1,0.0001,0.001,0.20841368677578814
75,1,0.0001,0.001,0.27147665522172704
76,1,0.0001,0.001,0.3536215661769979
77,1,0.0001,0.001,0.460622339564853
78,1,0.0001,0.001,0.6
